0 1 1 64640 0 136 0 136 136 0 0 0 136 0 136 0 136 0 0 136 0 0 0 136 136 0 136 136 0 0 0 0 0 0 0 0 0 0 136 136 0 0 0 0 0 136 0 136 136 136 0 136
1 1 1 73730.0 0.0 0.0 0.0 0.0 0.0 0.0 63.15184700501505 121.99999999999996 172.53405460951757 211.31019852340305 235.68590161453264 244.0 235.68590161453267 211.31019852340305 172.53405460951768 122.00000000000009 63.15184700501502 2.988138189919542e-14 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 63.151847005014936 121.99999999999983 172.53405460951768 211.31019852340307 235.68590161453267 244.0 235.6859016145327 211.31019852340316 172.5340546095178 121.99999999999994 63.1518470050155 8.964414569758625e-14 0.0 0.0 0.0 0.0 0.0 0.0
2 1 1 73730.0 0.0 0.0 0.0 0.0 0.0 0.0 33.12883777312265 63.99999999999998 90.50966799187808 110.85125168440815 123.63850576500073 128.0 123.63850576500074 110.85125168440815 90.50966799187813 64.00000000000004 33.12883777312263 1.567547902908612e-14 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 33.12883777312259 63.99999999999991 90.50966799187813 110.85125168440817 123.63850576500074 128.0 123.63850576500076 110.85125168440821 90.50966799187819 63.99999999999997 33.12883777312288 4.702643708725836e-14 0.0 0.0 0.0 0.0 0.0 0.0
3 0 4 8787472 472 472 472 472 472 472 472 472 472 472 472 472 472 472 472 472 472 472 472 472 472 472 472 472 472 472 472 472 472 472 472 472 472 472 472 472 472 472 472 472 472 472 472 472 472 472 472 472
4 0 72 100100454 454 454 454 454 454 454 454 454 454 454 454 454 454 454 454 454 454 454 454 454 454 454 454 454 454 454 454 454 454 454 454 454 454 454 454 454 454 454 454 454 454 454 454 454 454 454 454 454
5 1 1 55550 408 408 408 0 408 0 408 0 0 0 408 0 0 408 408 408 0 408 0 0 0 408 408 0 408 408 0 408 408 0 0 0 0 0 0 408 408 0 0 408 408 408 0 0 408 408 408 0
6 1 1 73730.0 0.0 0.0 0.0 0.0 0.0 0.0 41.92868530660835 80.99999999999997 114.55129855222069 140.29611541307906 156.47998385882906 162.0 156.47998385882906 140.29611541307906 114.55129855222076 81.00000000000006 41.92868530660833 1.9839278146187122e-14 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 41.92868530660828 80.99999999999989 114.55129855222076 140.2961154130791 156.47998385882906 162.0 156.4799838588291 140.29611541307915 114.55129855222083 80.99999999999996 41.92868530660865 5.951783443856136e-14 0.0 0.0 0.0 0.0 0.0 0.0
7 0 4 8787487 487 487 487 487 487 487 487 487 487 487 487 487 487 487 487 487 487 487 487 487 487 487 487 487 487 487 487 487 487 487 487 487 487 487 487 487 487 487 487 487 487 487 487 487 487 487 487 487
8 1 1 55550 319 0 0 0 0 319 319 319 319 319 0 319 319 319 319 319 0 0 0 319 0 0 319 319 0 0 0 0 0 0 0 319 0 319 319 0 0 319 319 0 319 319 0 319 319 0 319 319
9 0 4 9090437 437 437 437 437 437 437 437 437 437 437 437 437 437 437 437 437 437 437 437 437 437 437 437 437 437 437 437 437 437 437 437 437 437 437 437 437 437 437 437 437 437 437 437 437 437 437 437 437
